SiteId,SMRId,SMRStartDt,SMREndDt,IsCertified,Value (KWh),DevName,Capacity (KW),Address,Country,Latitude,Longitude,StartDay,StartMonth,StartYear,EndDay,EndMonth,EndYear
4b21bde7-7111-444c-9ae1-b2bfb739c478,589329f4-9494-403e-8ada-d5d2253c54f6,2023-07-31 18:31:00,2023-08-31 18:29:59,True,119.0,developer 3,1.0,"Tower Chawk,At Post Boriya,Petlad",India,22.495406,72.890366,31,7,2023,31,8,2023
53054bd8-7664-48f3-aa91-e7e7c05ab05f,6c6a437e-1ce9-4afc-a7d9-9c780fb174cb,2022-12-31 18:30:00,2023-01-31 18:29:59,True,1391.9,developer 2,25.5,"Gata No. 575, Village Bansa, Pargana Nawabganj, Tehsil Nawabganj PO Bansa District-Barabanki-225204,Uttarpradesh",India,26.9672,81.345624,31,12,2022,31,1,2023
53054bd8-7664-48f3-aa91-e7e7c05ab05f,e8de56b8-64d5-4735-9009-95ca50e16ca9,2023-01-31 18:30:00,2023-02-28 18:29:59,True,1337.1,developer 2,25.5,"Gata No. 575, Village Bansa, Pargana Nawabganj, Tehsil Nawabganj PO Bansa District-Barabanki-225204,Uttarpradesh",India,26.9672,81.345624,31,1,2023,28,2,2023
53054bd8-7664-48f3-aa91-e7e7c05ab05f,f90502a5-4b82-4861-afa6-e84fc69d8ca8,2023-02-28 18:30:00,2023-03-31 18:29:59,True,1129.2,developer 2,25.5,"Gata No. 575, Village Bansa, Pargana Nawabganj, Tehsil Nawabganj PO Bansa District-Barabanki-225204,Uttarpradesh",India,26.9672,81.345624,28,2,2023,31,3,2023
53054bd8-7664-48f3-aa91-e7e7c05ab05f,ced6c69b-0cad-424e-b63a-052fc87436bd,2023-03-31 18:30:00,2023-04-30 18:29:59,True,1303.2,developer 2,25.5,"Gata No. 575, Village Bansa, Pargana Nawabganj, Tehsil Nawabganj PO Bansa District-Barabanki-225204,Uttarpradesh",India,26.9672,81.345624,31,3,2023,30,4,2023
53054bd8-7664-48f3-aa91-e7e7c05ab05f,a61c140e-447c-40c1-9933-2d107bbba5c2,2023-04-30 18:30:00,2023-05-31 18:29:59,True,1269.7,developer 2,25.5,"Gata No. 575, Village Bansa, Pargana Nawabganj, Tehsil Nawabganj PO Bansa District-Barabanki-225204,Uttarpradesh",India,26.9672,81.345624,30,4,2023,31,5,2023
53054bd8-7664-48f3-aa91-e7e7c05ab05f,130ba466-ca34-4b9e-b985-abecdee74291,2023-05-31 18:30:00,2023-06-30 18:29:59,True,1831.4,developer 2,25.5,"Gata No. 575, Village Bansa, Pargana Nawabganj, Tehsil Nawabganj PO Bansa District-Barabanki-225204,Uttarpradesh",India,26.9672,81.345624,31,5,2023,30,6,2023
53054bd8-7664-48f3-aa91-e7e7c05ab05f,ca16a1ed-a4c6-4ed9-ac85-647bc44cd21c,2023-06-30 18:30:00,2023-07-31 18:29:59,True,1906.6,developer 2,25.5,"Gata No. 575, Village Bansa, Pargana Nawabganj, Tehsil Nawabganj PO Bansa District-Barabanki-225204,Uttarpradesh",India,26.9672,81.345624,30,6,2023,31,7,2023
53054bd8-7664-48f3-aa91-e7e7c05ab05f,50185887-33f7-4d17-b445-939ebce03e9a,2023-07-31 18:30:00,2023-08-31 18:29:59,True,1949.9,developer 2,25.5,"Gata No. 575, Village Bansa, Pargana Nawabganj, Tehsil Nawabganj PO Bansa District-Barabanki-225204,Uttarpradesh",India,26.9672,81.345624,31,7,2023,31,8,2023
53054bd8-7664-48f3-aa91-e7e7c05ab05f,7dd678e5-8226-46ae-832a-0fd9c7bdc6d8,2023-10-31 18:31:00,2023-11-14 08:29:00,True,497.4,developer 2,25.5,"Gata No. 575, Village Bansa, Pargana Nawabganj, Tehsil Nawabganj PO Bansa District-Barabanki-225204,Uttarpradesh",India,26.9672,81.345624,31,10,2023,14,11,2023
cdb7e914-df73-446f-9077-66e08eaf6f6e,47258104-9043-4709-99f3-066be4f5ee20,2022-12-31 18:30:00,2023-01-31 18:29:59,True,1011.8,developer 2,25.5,"Gata No. 2196, Village Mukimpur Urf Paharpur, Pargana Paschim Rath, Tehsil Bikapur PO Shahganj District-Ayodhya-224284,Uttarpradesh",India,26.642885,82.0445941,31,12,2022,31,1,2023
cdb7e914-df73-446f-9077-66e08eaf6f6e,7cb5bbfd-c295-49d2-a4e2-cf679aa69b99,2023-01-31 18:30:00,2023-02-28 18:29:59,True,837.5,developer 2,25.5,"Gata No. 2196, Village Mukimpur Urf Paharpur, Pargana Paschim Rath, Tehsil Bikapur PO Shahganj District-Ayodhya-224284,Uttarpradesh",India,26.642885,82.0445941,31,1,2023,28,2,2023
cdb7e914-df73-446f-9077-66e08eaf6f6e,18562788-63e5-4ba4-9d74-c275ecdef1ab,2023-02-28 18:30:00,2023-03-31 18:29:59,True,1018.0,developer 2,25.5,"Gata No. 2196, Village Mukimpur Urf Paharpur, Pargana Paschim Rath, Tehsil Bikapur PO Shahganj District-Ayodhya-224284,Uttarpradesh",India,26.642885,82.0445941,28,2,2023,31,3,2023
cdb7e914-df73-446f-9077-66e08eaf6f6e,810bf035-8f64-4f77-a989-c9fc24d88c23,2023-03-31 18:30:00,2023-04-30 18:29:59,True,1256.6,developer 2,25.5,"Gata No. 2196, Village Mukimpur Urf Paharpur, Pargana Paschim Rath, Tehsil Bikapur PO Shahganj District-Ayodhya-224284,Uttarpradesh",India,26.642885,82.0445941,31,3,2023,30,4,2023
cdb7e914-df73-446f-9077-66e08eaf6f6e,8f8cb29c-2309-4cc0-9ae1-2c16f07f8cfe,2023-04-30 18:30:00,2023-05-31 18:29:59,True,1164.8,developer 2,25.5,"Gata No. 2196, Village Mukimpur Urf Paharpur, Pargana Paschim Rath, Tehsil Bikapur PO Shahganj District-Ayodhya-224284,Uttarpradesh",India,26.642885,82.0445941,30,4,2023,31,5,2023
cdb7e914-df73-446f-9077-66e08eaf6f6e,0c977903-a555-4b01-8b12-1e514efa265f,2023-05-31 18:30:00,2023-06-30 18:29:59,True,1593.2,developer 2,25.5,"Gata No. 2196, Village Mukimpur Urf Paharpur, Pargana Paschim Rath, Tehsil Bikapur PO Shahganj District-Ayodhya-224284,Uttarpradesh",India,26.642885,82.0445941,31,5,2023,30,6,2023
cdb7e914-df73-446f-9077-66e08eaf6f6e,bb728401-56ea-449b-906b-a0811f75c335,2023-06-30 18:30:00,2023-07-31 18:29:59,True,1707.1,developer 2,25.5,"Gata No. 2196, Village Mukimpur Urf Paharpur, Pargana Paschim Rath, Tehsil Bikapur PO Shahganj District-Ayodhya-224284,Uttarpradesh",India,26.642885,82.0445941,30,6,2023,31,7,2023
cdb7e914-df73-446f-9077-66e08eaf6f6e,5eaa54a9-89e6-4ebe-b36c-37e0805c96d4,2023-07-31 18:30:00,2023-08-31 18:29:59,True,1645.7,developer 2,25.5,"Gata No. 2196, Village Mukimpur Urf Paharpur, Pargana Paschim Rath, Tehsil Bikapur PO Shahganj District-Ayodhya-224284,Uttarpradesh",India,26.642885,82.0445941,31,7,2023,31,8,2023
cdb7e914-df73-446f-9077-66e08eaf6f6e,338086b3-5871-4fec-95f2-23e11f2432ea,2023-10-31 18:31:00,2023-11-14 08:29:00,True,447.8,developer 2,25.5,"Gata No. 2196, Village Mukimpur Urf Paharpur, Pargana Paschim Rath, Tehsil Bikapur PO Shahganj District-Ayodhya-224284,Uttarpradesh",India,26.642885,82.0445941,31,10,2023,14,11,2023
cf59a0ab-dbf2-455c-aea0-978a24152e17,d4e1cd45-0669-47d9-8450-f1cb6906125c,2022-12-31 18:30:00,2023-01-31 18:29:59,True,1457.8,developer 2,25.5,"Gata No. 1226, Village and Pargana- Gazipur, Tehsil- Sadar District- Fatehpur-216221, UP",India,25.804932,80.741621,31,12,2022,31,1,2023
cf59a0ab-dbf2-455c-aea0-978a24152e17,c8662a7b-72e8-4a63-9628-cbc0274f8706,2023-01-31 18:30:00,2023-02-28 18:29:59,True,1098.8,developer 2,25.5,"Gata No. 1226, Village and Pargana- Gazipur, Tehsil- Sadar District- Fatehpur-216221, UP",India,25.804932,80.741621,31,1,2023,28,2,2023
cf59a0ab-dbf2-455c-aea0-978a24152e17,af9b2e85-180d-4d3a-8906-1116cb791471,2023-02-28 18:30:00,2023-03-31 18:29:59,True,1368.6,developer 2,25.5,"Gata No. 1226, Village and Pargana- Gazipur, Tehsil- Sadar District- Fatehpur-216221, UP",India,25.804932,80.741621,28,2,2023,31,3,2023
cf59a0ab-dbf2-455c-aea0-978a24152e17,1ad65173-04db-4174-b972-70767a0cd2ed,2023-03-31 18:30:00,2023-04-30 18:29:59,True,1881.8,developer 2,25.5,"Gata No. 1226, Village and Pargana- Gazipur, Tehsil- Sadar District- Fatehpur-216221, UP",India,25.804932,80.741621,31,3,2023,30,4,2023
cf59a0ab-dbf2-455c-aea0-978a24152e17,2f2af7e8-86d3-4b65-8fa9-38460bc231d7,2023-04-30 18:30:00,2023-05-31 18:29:59,True,1713.4,developer 2,25.5,"Gata No. 1226, Village and Pargana- Gazipur, Tehsil- Sadar District- Fatehpur-216221, UP",India,25.804932,80.741621,30,4,2023,31,5,2023
cf59a0ab-dbf2-455c-aea0-978a24152e17,e5a5d535-81e8-482b-a90e-9a7a1dd1fabc,2023-05-31 18:30:00,2023-06-30 18:29:59,True,2614.5,developer 2,25.5,"Gata No. 1226, Village and Pargana- Gazipur, Tehsil- Sadar District- Fatehpur-216221, UP",India,25.804932,80.741621,31,5,2023,30,6,2023
cf59a0ab-dbf2-455c-aea0-978a24152e17,d2e145d1-4265-47a6-a2c8-f69438e4d74c,2023-06-30 18:30:00,2023-07-31 18:29:59,True,2732.6,developer 2,25.5,"Gata No. 1226, Village and Pargana- Gazipur, Tehsil- Sadar District- Fatehpur-216221, UP",India,25.804932,80.741621,30,6,2023,31,7,2023
cf59a0ab-dbf2-455c-aea0-978a24152e17,ef7bc8d3-1ed2-450c-b6e8-67b32012fa28,2023-07-31 18:30:00,2023-08-31 18:29:59,True,2473.1,developer 2,25.5,"Gata No. 1226, Village and Pargana- Gazipur, Tehsil- Sadar District- Fatehpur-216221, UP",India,25.804932,80.741621,31,7,2023,31,8,2023
cf59a0ab-dbf2-455c-aea0-978a24152e17,9fc8c970-f22e-4c51-b9fe-57dbd3e5ede3,2023-10-31 18:31:00,2023-11-14 08:29:00,True,647.4,developer 2,25.5,"Gata No. 1226, Village and Pargana- Gazipur, Tehsil- Sadar District- Fatehpur-216221, UP",India,25.804932,80.741621,31,10,2023,14,11,2023
df36fe0c-f6fc-4d6e-8a26-b7d8b292ddb1,2a2d0d8d-a204-4282-b85c-210b1e3e42ba,2022-12-31 18:30:00,2023-01-31 18:29:59,True,788.9,developer 2,17.0,"Aurangabad, Village Aurangabad, P.O Aurangabad, Pargana Aurangabad Tehsil-Mitauli, 261505",India,27.7810016,80.352895,31,12,2022,31,1,2023
df36fe0c-f6fc-4d6e-8a26-b7d8b292ddb1,0b5f8877-a4a8-4704-a965-c6a33df869ff,2023-01-31 18:30:00,2023-02-28 18:29:59,True,883.4,developer 2,17.0,"Aurangabad, Village Aurangabad, P.O Aurangabad, Pargana Aurangabad Tehsil-Mitauli, 261505",India,27.7810016,80.352895,31,1,2023,28,2,2023
df36fe0c-f6fc-4d6e-8a26-b7d8b292ddb1,160ac0a4-97b9-40f3-bf28-dfce0abbc284,2023-02-28 18:30:00,2023-03-31 18:29:59,True,1057.1,developer 2,17.0,"Aurangabad, Village Aurangabad, P.O Aurangabad, Pargana Aurangabad Tehsil-Mitauli, 261505",India,27.7810016,80.352895,28,2,2023,31,3,2023
df36fe0c-f6fc-4d6e-8a26-b7d8b292ddb1,39c3bbcd-e5c9-42e3-84b1-ba764a501242,2023-03-31 18:30:00,2023-04-30 18:29:59,True,1392.0,developer 2,17.0,"Aurangabad, Village Aurangabad, P.O Aurangabad, Pargana Aurangabad Tehsil-Mitauli, 261505",India,27.7810016,80.352895,31,3,2023,30,4,2023
df36fe0c-f6fc-4d6e-8a26-b7d8b292ddb1,0125a185-7c28-4487-bbed-5297b3aa7cff,2023-04-30 18:30:00,2023-05-31 18:29:59,True,1286.7,developer 2,17.0,"Aurangabad, Village Aurangabad, P.O Aurangabad, Pargana Aurangabad Tehsil-Mitauli, 261505",India,27.7810016,80.352895,30,4,2023,31,5,2023
df36fe0c-f6fc-4d6e-8a26-b7d8b292ddb1,d9547d68-7071-4e18-b817-410716e77770,2023-05-31 18:30:00,2023-06-30 18:29:59,True,1811.7,developer 2,17.0,"Aurangabad, Village Aurangabad, P.O Aurangabad, Pargana Aurangabad Tehsil-Mitauli, 261505",India,27.7810016,80.352895,31,5,2023,30,6,2023
df36fe0c-f6fc-4d6e-8a26-b7d8b292ddb1,6aca201f-e8c3-4094-a113-2cb587b00872,2023-06-30 18:30:00,2023-07-31 18:29:59,True,1762.3,developer 2,17.0,"Aurangabad, Village Aurangabad, P.O Aurangabad, Pargana Aurangabad Tehsil-Mitauli, 261505",India,27.7810016,80.352895,30,6,2023,31,7,2023
df36fe0c-f6fc-4d6e-8a26-b7d8b292ddb1,8a90d5f1-cce9-49ca-ac9b-ec7ffcd341c5,2023-07-31 18:30:00,2023-08-31 18:29:59,True,1683.1,developer 2,17.0,"Aurangabad, Village Aurangabad, P.O Aurangabad, Pargana Aurangabad Tehsil-Mitauli, 261505",India,27.7810016,80.352895,31,7,2023,31,8,2023
df36fe0c-f6fc-4d6e-8a26-b7d8b292ddb1,9ed7237d-4814-47f6-ae88-cc588c15d70e,2023-10-31 18:31:00,2023-11-14 08:29:00,True,470.2,developer 2,17.0,"Aurangabad, Village Aurangabad, P.O Aurangabad, Pargana Aurangabad Tehsil-Mitauli, 261505",India,27.7810016,80.352895,31,10,2023,14,11,2023
a018b8ac-deee-44d5-bc30-2f372bf001be,d76f6c31-2e45-484f-ab15-c564962ba86a,2022-12-31 18:30:00,2023-01-31 18:29:59,True,917.8,developer 2,22.6,"PARGANA SANDILA, VILLAGE KOTHAWAN PO KOTHAWAN HARDOI DISTRICT - 241304 UTTAR PRADESH STATE, INDIA",India,27.235874,80.473137,31,12,2022,31,1,2023
a018b8ac-deee-44d5-bc30-2f372bf001be,08b7d041-ca40-485d-8835-de4c1d10fa61,2023-01-31 18:30:00,2023-02-28 18:29:59,True,1131.5,developer 2,22.6,"PARGANA SANDILA, VILLAGE KOTHAWAN PO KOTHAWAN HARDOI DISTRICT - 241304 UTTAR PRADESH STATE, INDIA",India,27.235874,80.473137,31,1,2023,28,2,2023
a018b8ac-deee-44d5-bc30-2f372bf001be,33fb259a-13aa-49ec-b5d7-f82c5e031ae8,2023-02-28 18:30:00,2023-03-31 18:29:59,True,1450.6,developer 2,22.6,"PARGANA SANDILA, VILLAGE KOTHAWAN PO KOTHAWAN HARDOI DISTRICT - 241304 UTTAR PRADESH STATE, INDIA",India,27.235874,80.473137,28,2,2023,31,3,2023
a018b8ac-deee-44d5-bc30-2f372bf001be,b170f19c-3f2a-418d-8bb0-d784a5ca49b9,2023-03-31 18:30:00,2023-04-30 18:29:59,True,1763.1,developer 2,22.6,"PARGANA SANDILA, VILLAGE KOTHAWAN PO KOTHAWAN HARDOI DISTRICT - 241304 UTTAR PRADESH STATE, INDIA",India,27.235874,80.473137,31,3,2023,30,4,2023
a018b8ac-deee-44d5-bc30-2f372bf001be,cb8534e6-13f7-43fd-b119-39765f9614e3,2023-04-30 18:30:00,2023-05-31 18:29:59,True,1617.1,developer 2,22.6,"PARGANA SANDILA, VILLAGE KOTHAWAN PO KOTHAWAN HARDOI DISTRICT - 241304 UTTAR PRADESH STATE, INDIA",India,27.235874,80.473137,30,4,2023,31,5,2023
